nom,categorie,entretien,lumiere,animaux_safe,conseil,lieu,depolluante,salle_de_bain,resistance
Bougainvillea Californiana,Grande,Moyen,Directe,Oui,Besoin de soleil pour sa floraison éclatante.,Extérieur,Non,Non,0°C
Clementino Mini Alberello,Moyenne,Facile,Directe,Oui,Arrosage régulier sans excès d'eau.,Extérieur,Non,Non,-2°C
Lemon Mini Alberello,Moyenne,Facile,Directe,Oui,Gros besoin de lumière et engrais agrumes.,Extérieur,Non,Non,-3°C
Lemon Alberello,Grande,Moyen,Directe,Oui,Idéal pour une terrasse très ensoleillée.,Extérieur,Non,Non,-3°C
Eucaliptus gunnii Azura,Grande,Facile,Vive,Non,Feuillage argenté persistant et très rustique.,Extérieur,Oui,Non,-15°C
Callistemon laevis,Moyenne,Facile,Directe,Oui,Fleurs rouges originales en goupillon.,Extérieur,Non,Non,-6°C
Lavandula Sensational,Petite,Très Facile,Directe,Oui,Très parfumée et attire les pollinisateurs.,Extérieur,Non,Non,-10°C
Salvia rosmarinus Prostratus,Petite,Très Facile,Directe,Oui,Romarin rampant parfait pour les murets.,Extérieur,Non,Non,-12°C
Aloe Safari Sunrise,Petite,Facile,Directe,Non,Très peu d'eau. Craint le gel humide.,Extérieur,Non,Non,-4°C
Yucca Citrus Twist,Moyenne,Très Facile,Vive,Non,Feuillage panaché très graphique.,Extérieur,Oui,Non,-10°C
Phormium Black Adder,Moyenne,Facile,Vive,Oui,Lin de NZ pour un jardin moderne.,Extérieur,Non,Non,-10°C
Phormium Apricot Queen,Moyenne,Facile,Vive,Oui,Magnifiques teintes abricot sur le feuillage.,Extérieur,Non,Non,-10°C
Phormium Pink Blush,Moyenne,Facile,Vive,Oui,Bords de feuilles rosés très élégants.,Extérieur,Non,Non,-10°C
Cordyline Electric Flash,Moyenne,Facile,Vive,Oui,Feuillage chocolat et crème décoratif.,Extérieur,Non,Non,-5°C
Cordyline Fantasy,Moyenne,Facile,Vive,Oui,Port élancé et couleurs vives.,Extérieur,Non,Non,-5°C
Sempervivum Collection,Petite,Très Facile,Directe,Oui,Plante grasse increvable, résiste au gel fort.,Extérieur,Non,Non,-20°C
Lavandula Stoechas,Petite,Très Facile,Directe,Oui,Lavande papillon adore le plein soleil.,Extérieur,Non,Non,-7°C
Phoenix Canariensis Extra,Grande,Facile,Vive,Oui,Palmier robuste à protéger par grand froid.,Extérieur,Oui,Non,-8°C
Jasminum Polyanthum,Moyenne,Facile,Vive,Oui,Parfum exceptionnel lors de la floraison.,Extérieur,Non,Non,-5°C
Aloe vera,Petite,Facile,Vive,Non,Sève médicinale. Laissez sécher le terreau.,Intérieur,Oui,Non,5°C
Anthurium andraeanum,Moyenne,Moyen,Vive,Non,Fleurs brillantes et durables.,Intérieur,Oui,Oui,12°C
Cordyline mix (H75),Moyenne,Facile,Vive,Oui,Mélange de couleurs pour l'intérieur.,Intérieur,Non,Non,10°C
Dieffenbachia Camilla,Moyenne,Moyen,Mi-ombre,Non,Toxique, portez des gants pour la taille.,Intérieur,Oui,Non,12°C
Dracaena frag. Golden Coast,Moyenne,Facile,Mi-ombre,Non,Feuillage bordé de jaune lumineux.,Intérieur,Oui,Non,12°C
Dracaena marginata (H45),Petite,Très Facile,Mi-ombre,Non,Le palmier d'intérieur pour débutants.,Intérieur,Oui,Non,12°C
Dracaena marginata (H80),Moyenne,Très Facile,Mi-ombre,Non,Format idéal pour un coin de salon.,Intérieur,Oui,Non,12°C
Dracaena marginata (H110),Grande,Très Facile,Mi-ombre,Non,Beau sujet déjà bien développé.,Intérieur,Oui,Non,12°C
Dypsis lutescens (Areca),Grande,Moyen,Vive,Oui,Excellent purificateur d'air.,Intérieur,Oui,Oui,10°C
Echeveria Dondo,Petite,Très Facile,Directe,Oui,Rosette compacte, demande très peu d'eau.,Intérieur,Non,Non,5°C
Ficus el. Robusta (H40),Moyenne,Facile,Vive,Non,Grandes feuilles sombres et brillantes.,Intérieur,Oui,Non,10°C
Ficus el. Robusta (H60),Grande,Facile,Vive,Non,Format arbuste pour décorer une pièce.,Intérieur,Oui,Non,10°C
Fougères mix,Moyenne,Moyen,Mi-ombre,Oui,Aime l'humidité constante.,Intérieur,Non,Oui,12°C
Maranta leuconeura,Petite,Moyen,Mi-ombre,Oui,Ses feuilles se ferment le soir.,Intérieur,Non,Oui,12°C
Monstera adansonii,Moyenne,Facile,Vive,Non,Plante à trous grimpante ou tombante.,Intérieur,Oui,Oui,10°C
Monstera del. Tuteur mousse,Grande,Facile,Vive,Non,Sujet majestueux sur tuteur.,Intérieur,Oui,Non,10°C
Monstera deliciosa,Moyenne,Facile,Vive,Non,La star incontournable des intérieurs.,Intérieur,Oui,Non,10°C
Pachira aquatica,Grande,Moyen,Vive,Oui,Arbre à monnaie au tronc tressé.,Intérieur,Oui,Non,12°C
Philodendron melanochrysum,Moyenne,Expert,Mi-ombre,Non,Feuillage velouté magnifique.,Intérieur,Oui,Oui,12°C
Sansevieria cylindrica,Petite,Très Facile,Ombre,Non,Plante increvable arrosage 1 fois par mois.,Intérieur,Oui,Non,10°C
Schefflera arb. Dalton,Grande,Facile,Vive,Non,L'arbre ombrelle vert foncé robuste.,Intérieur,Oui,Non,10°C
Schefflera arb. Gold Capella,Grande,Facile,Vive,Non,Variété panachée de jaune.,Intérieur,Oui,Non,10°C
Spathiphyllum Sweet Chico,Moyenne,Facile,Mi-ombre,Non,Fleur de lune purificatrice.,Intérieur,Oui,Oui,12°C
Calathea Rufibarba,Moyenne,Moyen,Ombre,Oui,Feuillage ondulé et duveteux.,Intérieur,Non,Oui,12°C
Cordyline indivisa Peko,Moyenne,Facile,Vive,Oui,Port élancé et exotique.,Intérieur,Non,Non,10°C
Strelitzia reginae,Grande,Moyen,Vive,Non,Oiseau de paradis aux fleurs orangées.,Intérieur,Non,Non,5°C
